Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,AvgMonthlySpend,NumServices,StreamingBundleCount,PhoneBundleCount,HasInternet,Is_Electronic_Check,Churn Value
No,Yes,No,44,Yes,No,DSL,No,Yes,Yes,Yes,One year,Yes,Electronic check,70.95,3250.45,73.87386363636364,5,1,1,1,1,0
No,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.3,6518.35,106.85819672131149,6,2,2,1,0,0
Yes,No,No,55,No,No phone service,DSL,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,44.85,2479.05,45.07363636363637,3,1,0,1,1,0
No,No,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),80.6,2651.1,80.33636363636363,3,0,1,1,0,0
Yes,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,73.65,1463.5,73.175,2,0,1,1,1,1
No,Yes,Yes,58,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),71.6,4230.25,72.9353448275862,6,0,2,1,0,0
No,Yes,No,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.2,3243.45,104.62741935483871,6,2,2,1,1,1
No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),117.5,8670.1,120.41805555555555,8,2,2,1,0,0
No,Yes,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.15,1940.85,27.72642857142857,2,0,2,0,0,0
No,No,No,15,Yes,Yes,DSL,No,No,No,No,Month-to-month,No,Electronic check,51.55,765.5,51.03333333333333,2,0,2,1,1,1
Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,70.15,70.15,1,0,1,1,1,1
No,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.6,35.85,17.925,1,0,1,0,1,1
No,No,No,23,Yes,No,Fiber optic,Yes,No,Yes,No,One year,Yes,Credit card (automatic),99.95,2292.75,99.68478260869566,5,2,1,1,0,0
No,No,No,51,No,No phone service,DSL,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),44.45,2181.55,42.77549019607844,3,1,0,1,0,0
No,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,95.85,95.85,95.85,4,2,1,1,1,0
No,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,74.7,2,0,1,1,1,1
No,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),90.55,6130.95,92.89318181818182,5,0,2,1,0,0
No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.65,69.65,69.65,1,0,1,1,1,1
No,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.3,755.4,20.416216216216217,1,0,1,0,0,0
No,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,122.9,20.483333333333334,1,0,1,0,0,0
Yes,Yes,No,59,Yes,No,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),82.95,4903.15,83.1042372881356,4,0,1,1,0,0
No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.3,8058.55,111.92430555555556,8,2,2,1,0,0
No,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.05,470.2,21.37272727272727,1,0,1,0,0,0
No,No,No,8,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.7,553.4,69.175,1,0,1,1,0,0
No,Yes,No,12,Yes,No,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.9,505.95,42.1625,1,0,1,1,0,0
No,Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Credit card (automatic),103.2,7362.9,102.26249999999999,6,2,2,1,0,0
No,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),84.6,5706.2,81.51714285714286,4,0,1,1,0,0
No,No,No,21,Yes,No,DSL,No,No,Yes,No,Month-to-month,No,Mailed check,61.65,1393.6,66.36190476190475,3,1,1,1,0,0
No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,68.25,1,0,1,1,0,1
Yes,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.8,1727.5,86.375,3,1,2,1,0,1
No,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.15,970.85,19.417,1,0,1,0,0,0
No,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,Yes,Two year,No,Mailed check,94.3,3460.95,93.53918918918919,5,1,2,1,0,0
No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,74.9,74.9,2,0,2,1,1,1
No,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,97.35,2119.5,100.92857142857143,4,2,2,1,1,1
No,Yes,No,13,No,No phone service,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,54.45,706.85,54.37307692307692,4,2,0,1,1,1
No,Yes,Yes,68,Yes,No,DSL,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),72.95,4953.25,72.84191176470588,5,2,1,1,0,0
Yes,No,No,35,No,No phone service,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,39.85,1434.6,40.988571428571426,2,1,0,1,1,0
No,No,No,11,Yes,No,DSL,No,No,Yes,Yes,One year,No,Bank transfer (automatic),53.8,651.55,59.23181818181818,3,0,1,1,0,0
Yes,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,95.05,3944.5,93.91666666666667,4,2,2,1,1,0
No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Mailed check,71.1,5224.95,73.59084507042253,6,0,2,1,0,0
No,No,No,1,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),35.25,35.25,35.25,1,1,0,1,0,1
No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,45.8,45.8,45.8,1,0,1,1,0,0
Yes,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,88.92777777777779,4,0,2,1,0,0
No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,564.65,80.66428571428571,2,0,2,1,1,0
Yes,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.2,1217.25,81.15,3,0,2,1,1,1
No,No,No,54,Yes,Yes,Fiber optic,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.1,5064.85,93.79351851851852,5,1,2,1,0,0
No,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.9,164.6,18.288888888888888,1,0,1,0,1,0
No,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,82.65,1185.0,84.64285714285714,4,0,2,1,1,0
No,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.15,826.0,21.17948717948718,1,0,1,0,0,0
No,Yes,Yes,26,Yes,Yes,DSL,No,No,Yes,Yes,One year,Yes,Credit card (automatic),82.0,2083.1,80.11923076923077,6,2,2,1,0,0
No,No,No,8,Yes,No,DSL,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,66.7,579.0,72.375,4,1,1,1,1,0
No,No,No,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),104.5,6590.8,104.61587301587302,7,1,2,1,0,0
Yes,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,94.2,1608.15,94.59705882352942,4,2,2,1,1,0
No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,75.1,75.1,75.1,2,0,2,1,1,1
No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.35,20.35,20.35,1,0,1,0,0,0
No,Yes,No,67,Yes,Yes,DSL,Yes,No,Yes,No,Two year,Yes,Electronic check,79.7,5293.4,79.00597014925373,6,2,2,1,1,1
No,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,82.35,1852.85,88.23095238095237,3,0,2,1,1,1
No,No,No,9,Yes,No,DSL,Yes,No,No,Yes,Month-to-month,No,Mailed check,64.95,547.8,60.86666666666666,4,1,1,1,0,0
No,Yes,Yes,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.7,1714.55,25.9780303030303,2,0,2,0,0,0
No,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.75,487.05,20.29375,1,0,1,0,0,0
No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,19.5,19.5,1,0,1,0,0,0
No,No,Yes,9,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),93.0,870.25,96.69444444444444,5,1,1,1,0,0
No,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,89.75,552.65,92.10833333333333,4,1,2,1,1,0
No,No,No,37,Yes,Yes,DSL,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),90.6,3358.65,90.77432432432433,8,2,2,1,0,0
No,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),105.85,2239.65,111.9825,6,2,2,1,0,1
Yes,Yes,No,67,Yes,No,DSL,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),60.95,4119.4,61.483582089552236,4,0,1,1,0,0
No,Yes,No,47,Yes,Yes,DSL,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),85.3,4107.25,87.38829787234043,7,2,2,1,0,0
No,Yes,No,5,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,88.9,454.15,90.83,4,1,1,1,0,1
Yes,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),84.8,6141.65,85.30069444444445,4,0,1,1,0,0
No,Yes,No,64,Yes,Yes,DSL,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.1,4818.8,75.29375,6,1,2,1,0,0
No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,No,Electronic check,45.8,45.8,45.8,1,0,1,1,1,1
No,No,No,12,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,523.1,43.59166666666667,1,0,1,1,1,0
No,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,88.05,801.3,89.03333333333333,4,1,2,1,1,0
No,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.9,791.15,20.285897435897436,1,0,1,0,0,0
No,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.3,246.7,20.558333333333334,1,0,1,0,0,0
No,No,No,23,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,44.95,996.85,43.34130434782609,2,2,0,1,1,0
Yes,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,96.4,1581.2,98.825,4,2,2,1,1,1
Yes,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,84.35,1745.2,87.26,3,1,2,1,1,0
No,Yes,No,3,No,No phone service,DSL,No,No,No,Yes,Month-to-month,Yes,Electronic check,29.9,92.25,30.75,1,0,0,1,1,0
No,Yes,Yes,45,Yes,Yes,DSL,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),73.85,3371.0,74.91111111111111,6,1,2,1,0,0
No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,Month-to-month,No,Mailed check,54.15,101.65,50.825,3,0,2,1,0,0
No,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),104.5,3684.95,102.35972222222222,6,2,2,1,0,0
No,No,No,54,Yes,No,Fiber optic,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),105.4,5643.4,104.5074074074074,6,2,1,1,0,1
No,No,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.55,819.95,18.635227272727274,1,0,1,0,0,0
No,No,No,8,Yes,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,43.55,335.4,41.925,1,0,1,1,0,0
No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),108.95,7875.0,109.375,7,2,2,1,0,0
No,Yes,No,58,No,No phone service,DSL,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),55.5,3166.9,54.601724137931036,4,2,0,1,0,0
No,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),66.85,4758.8,66.09444444444445,5,0,2,1,0,0
No,No,No,3,Yes,Yes,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,60.25,170.5,56.833333333333336,3,1,2,1,1,0
No,Yes,No,30,Yes,No,DSL,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),70.25,2198.9,73.29666666666667,5,1,1,1,0,0
Yes,No,No,53,Yes,No,Fiber optic,Yes,Yes,No,Yes,One year,Yes,Mailed check,96.75,5206.55,98.23679245283019,5,1,1,1,0,0
No,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,825.7,75.06363636363636,2,0,2,1,1,1
No,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),73.75,956.65,73.58846153846153,2,0,1,1,0,0
Yes,Yes,No,31,No,No phone service,DSL,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),50.4,1580.1,50.97096774193548,4,1,0,1,0,0
No,No,Yes,19,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.35,566.1,29.794736842105266,0,0,0,1,0,0
No,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.35,1092.35,20.2287037037037,1,0,1,0,0,0
Yes,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.3,2890.65,103.2375,6,2,2,1,1,1
Yes,No,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.65,1766.75,24.883802816901408,2,0,2,0,0,0
No,No,No,52,Yes,Yes,DSL,Yes,Yes,No,Yes,Two year,Yes,Mailed check,85.15,4461.85,85.8048076923077,7,2,2,1,0,0
Yes,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,84.75,1350.15,84.384375,3,1,2,1,1,1
No,Yes,Yes,5,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,90.35,434.5,86.9,4,1,1,1,0,0
No,No,No,35,No,No phone service,DSL,No,No,Yes,No,Month-to-month,No,Electronic check,49.2,1701.65,48.61857142857143,3,2,0,1,1,0
No,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.65,391.7,21.76111111111111,1,0,1,0,0,0
No,Yes,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.55,1245.6,19.77142857142857,1,0,1,0,0,0
No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,117.95,23.59,1,0,1,0,0,0
No,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.0,85.0,85.0,3,1,1,1,1,0
No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,54.075,3,0,1,1,0,1
No,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.8,1521.2,21.12777777777778,1,0,1,0,0,0
No,No,Yes,11,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,86.2,893.2,81.2,3,1,2,1,1,0
Yes,No,No,8,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.95,562.7,70.3375,1,0,1,1,0,0
No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,75.85,724.65,80.51666666666667,2,0,2,1,1,0
No,No,No,4,No,No phone service,DSL,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,48.25,202.25,50.5625,4,1,0,1,0,0
No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),94.45,6921.7,96.13472222222222,5,1,2,1,0,0
No,Yes,No,55,Yes,Yes,Fiber optic,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,5743.05,104.41909090909091,6,2,2,1,1,1
No,No,No,52,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Electronic check,109.3,5731.4,110.21923076923076,7,2,2,1,1,0
No,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),93.2,6506.15,91.63591549295774,8,2,2,1,0,0
No,No,No,57,No,No phone service,DSL,No,Yes,No,No,Month-to-month,Yes,Electronic check,39.3,2111.45,37.04298245614035,2,1,0,1,1,1
No,No,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),104.4,6692.65,104.57265625,6,2,2,1,0,0
No,Yes,No,64,Yes,No,Fiber optic,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),104.05,6605.55,103.21171875,6,2,1,1,0,0
No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.75,19.75,19.75,1,0,1,0,1,0
Yes,No,No,35,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,99.05,3554.6,101.56,5,2,2,1,1,0
No,No,No,53,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,No,Mailed check,98.6,5311.85,100.22358490566039,6,1,2,1,0,0
No,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),70.9,4911.35,72.22573529411765,6,0,2,1,0,0
No,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.95,433.5,19.704545454545453,1,0,1,0,0,0
No,No,No,30,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),106.4,3211.9,107.06333333333333,6,2,2,1,0,0
No,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.6,1790.35,26.721641791044775,2,0,2,0,0,0
No,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Electronic check,101.35,7323.15,101.71041666666666,6,2,2,1,1,0
No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Mailed check,85.8,85.8,85.8,3,1,2,1,0,1
No,No,No,15,Yes,No,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.45,892.65,59.51,3,1,1,1,1,1
Yes,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Mailed check,79.35,1835.3,79.79565217391304,3,0,2,1,0,0
No,No,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Mailed check,90.4,4063.0,92.3409090909091,4,1,2,1,0,0
No,No,No,8,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,60.0,487.75,60.96875,3,1,1,1,1,0
Yes,Yes,No,27,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1893.95,70.1462962962963,2,0,2,1,1,1
No,No,Yes,1,No,No phone service,DSL,No,Yes,No,Yes,Month-to-month,No,Mailed check,33.6,33.6,33.6,2,0,0,1,0,0
No,No,Yes,21,Yes,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,45.65,985.05,46.90714285714286,1,0,1,1,0,0
No,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.85,272.35,20.950000000000003,1,0,1,0,0,0
Yes,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.5,106.8,17.8,1,0,1,0,0,0
Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,76.45,76.45,76.45,2,0,2,1,1,1
No,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Electronic check,103.1,4889.3,104.02765957446809,6,2,2,1,1,0
No,Yes,No,69,Yes,No,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),75.75,5388.15,78.0891304347826,6,1,1,1,0,0
No,Yes,Yes,45,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,105.15,4730.9,105.1311111111111,6,2,2,1,1,0
No,No,No,62,Yes,No,DSL,Yes,Yes,No,No,One year,Yes,Credit card (automatic),74.3,4698.05,75.775,5,2,1,1,0,0
No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,45.05,45.05,45.05,1,0,1,1,0,1
No,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,No,Mailed check,75.1,1151.55,76.77,2,0,1,1,0,0
No,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.7,137.6,17.2,1,0,1,0,0,0
Yes,Yes,No,37,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.25,2575.45,69.60675675675675,1,0,1,1,0,0
No,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.3,1041.8,22.16595744680851,1,0,1,0,0,0
No,Yes,Yes,47,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Electronic check,90.05,4137.2,88.02553191489362,4,1,1,1,1,0
No,No,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Electronic check,111.5,5703.25,111.82843137254902,7,2,2,1,1,0
No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Mailed check,70.9,70.9,70.9,1,0,1,1,0,1
No,No,No,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),98.0,6218.45,98.70555555555555,6,1,2,1,0,0
No,Yes,No,3,Yes,No,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,50.15,168.15,56.050000000000004,2,0,1,1,1,1
No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),106.1,7848.5,109.00694444444444,6,2,2,1,0,0
No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,85.65,181.5,90.75,3,1,2,1,1,1
No,No,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Mailed check,99.0,1301.7,100.13076923076923,5,2,2,1,0,1
No,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),112.75,8192.6,113.78611111111111,8,2,2,1,0,0
Yes,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,85.45,1505.85,83.65833333333333,4,0,2,1,1,1
No,Yes,No,45,Yes,No,DSL,Yes,No,Yes,No,Two year,No,Credit card (automatic),53.3,2296.25,51.02777777777778,3,0,1,1,0,0
No,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.55,1218.65,18.74846153846154,1,0,1,0,0,0
No,No,No,33,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,68.25,2171.15,65.79242424242425,1,0,1,1,1,1
No,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.35,3161.4,73.52093023255814,2,0,2,1,0,0
Yes,Yes,No,31,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,84.85,2633.4,84.9483870967742,3,1,2,1,1,0
No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.1,1734.65,24.092361111111114,2,0,2,0,0,0
No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,No,Credit card (automatic),43.95,43.95,43.95,1,0,1,1,0,0
Yes,No,No,13,Yes,No,DSL,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,54.8,731.3,56.25384615384615,3,0,1,1,1,0
No,Yes,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Electronic check,94.65,4312.5,93.75,5,1,2,1,1,0
Yes,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),99.9,5706.3,101.89821428571429,6,1,2,1,0,0
No,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.95,5931.75,84.73928571428571,7,2,2,1,0,0
Yes,No,No,3,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,235.5,78.5,1,0,1,1,1,1
No,Yes,Yes,14,Yes,Yes,DSL,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),80.45,1137.05,81.21785714285714,6,2,2,1,0,0
No,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.35,689.75,20.901515151515152,1,0,1,0,0,0
No,No,No,19,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),25.15,468.35,24.650000000000002,0,0,0,1,0,0
No,No,No,6,Yes,No,DSL,No,No,Yes,No,Month-to-month,No,Mailed check,60.9,414.1,69.01666666666667,3,1,1,1,0,0
Yes,Yes,No,51,Yes,Yes,Fiber optic,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),93.65,4839.15,94.88529411764705,5,1,2,1,0,0
No,No,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),95.1,3691.2,97.13684210526316,5,1,2,1,0,0
Yes,Yes,Yes,68,No,No phone service,DSL,No,Yes,Yes,No,Two year,Yes,Electronic check,53.0,3656.25,53.768382352941174,4,2,0,1,1,0
